symbol,timestamp,close,avg20_vol,prob_up_1d,pred_ret_1d_pct,pred_ret_3d_pct,pred_ret_5d_pct,pred_std_5d,prob_up_5d,D_atr14,D_cpr_width_pct,long_score,short_score,bias,global_hits,actionable
MANAPPURAM,2025-12-23 00:00:00+05:30,294.8,2444234.85,0.9282178217821783,,0.4316497917689872,0.7491822325611125,4.709118675483065,0.5632017430745765,6.561213114666137,0.0508819538670593,9.0,0.5,LONG,575,True
SETFNIF50,2025-12-23 00:00:00+05:30,279.48,657475.15,0.6431385423506237,,0.3001557193873372,-0.1907414896095722,1.8861433272752206,0.45972445421962027,4.12165610066995,-0.0751395448690555,9.0,0.5,LONG,575,True
QGOLDHALF,2025-12-23 00:00:00+05:30,112.86,236300.25,0.7638850125593077,,1.526062588850431,1.6226224528141855,2.04070867671138,0.7867302344398562,2.656886469602112,-0.256955520113433,8.0,0.5,LONG,574,True
AXISILVER,2025-12-23 00:00:00+05:30,209.39,1230302.8,0.9751595259799453,,1.7667638125825122,1.5160258819482497,3.7951286820386287,0.6552251174149382,5.844509754379185,-0.0859639906394526,8.0,0.5,LONG,574,True
SILVERBEES,2025-12-23 00:00:00+05:30,201.79,47016457.45,0.9707977207977208,,1.6959454277105301,1.254915132429603,3.5255826468137528,0.639059235044135,4.949930123407601,-0.0974610568743041,8.0,0.5,LONG,574,True
AUTOBEES,2025-12-23 00:00:00+05:30,285.97,283540.7,0.5754864365857122,,0.09024243481033069,-0.3557547392203624,2.649791798872742,0.4465993988990159,4.44660157636182,0.016318728071734,7.5,0.5,LONG,574,True
LIQUIDBETF,2025-12-23 00:00:00+05:30,1061.94,337476.7,0.9851196082124694,,0.3761382748729862,3.6088493321485116,1.463413030827032,0.9931693746178043,0.3594293592667252,0.0,8.0,0.5,LONG,469,True
SILVERIETF,2025-12-23 00:00:00+05:30,210.38,7340642.55,0.8817879571481345,,2.6810009687149274,2.560784542105728,3.4279011218041355,0.7724808307714659,6.13785616972083,-0.6321893716132637,8.0,0.5,LONG,469,True
SILVERAG,2025-12-23 00:00:00+05:30,205.82,593647.2,0.8092457420924575,,2.2473644749356314,2.310345671069074,3.7234276593794378,0.7325320923428659,5.332495972813028,-0.443753441518462,8.0,0.5,LONG,469,True
SILVER,2025-12-23 00:00:00+05:30,210.35,2327923.15,0.9751595259799453,,2.855098640708338,2.2110634803517857,3.6280146973813356,0.7288842072652602,6.02307683574429,-0.2028365422708231,8.0,0.5,LONG,469,True
GROWWSLVR,2025-12-23 00:00:00+05:30,207.82,674511.0,0.8673066064370413,,2.1272110244288114,2.0459889990592703,5.728134517636429,0.6395223212714813,5.564573654991224,-0.2566323420909248,8.0,0.5,LONG,469,True
SILVER1,2025-12-23 00:00:00+05:30,204.49,1442517.0,0.9707977207977208,,1.3727426031542422,1.734403917516093,3.484030804462796,0.6906928976817654,5.779494733957828,-0.1304057248113118,8.0,0.5,LONG,469,True
HDFCSILVER,2025-12-23 00:00:00+05:30,202.77,6458210.9,0.9254460093896714,,1.4175038225941523,1.7342008732134533,3.6834335102963043,0.6811121226892827,5.899354241756127,-0.1380874882872365,8.0,0.5,LONG,469,True
GOLDETF,2025-12-23 00:00:00+05:30,132.6,1168040.55,0.7772277227722773,,1.3201802154100672,1.2699492059430217,2.3902837138273916,0.7023933338054588,3.217867441529036,-0.1910507792860711,8.0,0.5,LONG,469,True
EICHERMOT,2025-12-23 00:00:00+05:30,7303.0,437757.35,0.844671201814059,,1.118267824185104,1.2170251444419875,3.5645916445089103,0.6336064663942576,123.4954173344588,-0.0547720115021224,7.5,0.5,LONG,469,True
INDUSTOWER,2025-12-23 00:00:00+05:30,414.35,5463317.85,0.9495569188820723,,0.6689220504277509,0.816885505348345,4.444890788365361,0.5729072744381745,8.849289972673665,0.0884920156067754,9.0,0.5,LONG,469,True
SETFGOLD,2025-12-23 00:00:00+05:30,116.58,6590262.85,0.8047638436482085,,0.9841512359235965,0.6210144815449818,2.0565210018492173,0.6186637361422203,2.701446060348018,-0.0085778006519294,8.0,0.5,LONG,469,True
GOLD1,2025-12-23 00:00:00+05:30,114.02,2122410.15,0.7255133349067737,,0.3694378742184542,0.31058898022060016,2.1355476766408725,0.5578173433837852,2.317064086644767,0.0292346371981507,8.0,0.5,LONG,469,True
BHARATFORG,2025-12-23 00:00:00+05:30,1460.2,687856.15,0.5754864365857122,,-0.02729291783755651,0.07645080280901534,3.9097233805093845,0.5078004677635662,30.38622993278124,0.4086198237684356,7.5,0.0,LONG,469,True
NIFTY1,2025-12-23 00:00:00+05:30,288.73,209668.05,0.4030357142857143,,-0.13618075841623684,-0.1634165981793808,1.947330163176443,0.4665606357037043,2.805145148363715,0.0692688671076942,9.0,0.5,LONG,469,True
WELSPUNLIV,2025-12-23 00:00:00+05:30,136.95,8737523.0,0.2311157311157311,,0.6572631453390191,-0.41739724145572105,5.377739190548184,0.46906678910108224,4.507871467292733,-0.2920774005111604,9.0,0.5,LONG,469,True
MID150BEES,2025-12-23 00:00:00+05:30,230.52,767531.2,0.18491484184914841,,-0.20553103040294501,-0.7452075945636548,2.485198708597287,0.38214266511068795,3.781780632976781,0.0202440858349301,7.5,0.5,LONG,469,True
GRAVITA,2025-12-23 00:00:00+05:30,1845.1,241379.25,0.5170420865441611,,-0.07669593701014467,-1.0428522288341884,6.269148485653799,0.4339420486041261,53.17585398676368,0.0596173649124659,7.0,1.5,LONG,469,True
COMMOIETF,2025-12-23 00:00:00+05:30,94.9,265535.1,0.18491484184914841,,-0.44499232331778693,-1.2371030799642677,2.412067241433294,0.30401732397687065,1.4619749435065197,0.1685985247629347,8.5,0.5,LONG,469,True
AXISGOLD,2025-12-23 00:00:00+05:30,114.64,1458238.5,0.7638850125593077,,0.470403294966113,0.625938192414997,2.0839677014292457,0.6180482208151521,2.254037021416744,0.1366596882996042,6.5,0.5,LONG,468,True
GROWWDEFNC,2025-12-23 00:00:00+05:30,77.68,259059.7,0.5564820991772296,,0.12621371514097954,-0.2662893216261999,4.261742833984319,0.47508876317731796,1.7977741440486754,0.1673532440782639,5.5,3.0,LONG,468,True
CASHIETF,2025-12-23 00:00:00+05:30,1042.26,254778.65,0.9851196082124694,,1.906403847981571,7.818055912272327,2.9281705200043633,0.9962067777951625,1.4612978002823562,0.0,8.0,0.5,LONG,377,True
RATNAVEER,2025-12-23 00:00:00+05:30,164.07,1428761.2,0.0885323826500297,,1.8453595944253367,2.926361491256804,6.07463358727025,0.6850027679578738,7.055909581175247,-0.4144572438593324,7.5,-0.5,LONG,377,True
LUMAXTECH,2025-12-23 00:00:00+05:30,1574.7,237318.8,0.3820967257434666,,2.2709141552247547,2.5735553411595586,5.8652460482491175,0.669589662547497,68.49449379184496,-0.6477424271289942,7.5,0.0,LONG,377,True
IIFL,2025-12-23 00:00:00+05:30,572.75,998429.8,0.9833091436865021,,1.4743003951500508,2.4541851377339916,5.689459427903214,0.6668953721001798,14.951156366572413,-0.0261894369271219,7.0,0.5,LONG,377,True
LIQUIDCASE,2025-12-23 00:00:00+05:30,111.96,13486603.0,0.9696509863429439,,1.730734118627177,2.083657718010468,2.550147530272746,0.7930568198315943,0.0739662981459883,-2.538559256020365e-14,6.5,0.5,LONG,377,True
KIRLOSENG,2025-12-23 00:00:00+05:30,1298.3,1039555.25,0.3553956834532374,,1.8429704651190844,1.7853796312520989,6.185776664100911,0.6135663650102023,57.01869219260107,-0.3106626614290459,7.0,-0.5,LONG,377,True
NIFTYIETF,2025-12-23 00:00:00+05:30,294.17,728120.35,0.8182897862232779,,1.0367179185052733,1.7156729215815374,2.084621374372383,0.7947500903711084,4.806075286803444,-0.0283282908975278,7.5,0.0,LONG,377,True
HINDZINC,2025-12-23 00:00:00+05:30,609.8,11581739.3,0.9146410401356698,,1.7110553267543778,1.656666354133142,4.97643828867707,0.6303958138033277,15.948931382274218,-0.1311905542800844,8.0,0.5,LONG,377,True
DCMSHRIRAM,2025-12-23 00:00:00+05:30,1249.4,424884.85,0.8182897862232779,,1.0275766866451939,1.6545850878950223,4.490958802061301,0.6437220625294648,36.66757735849821,0.3414972520143172,7.0,1.5,LONG,377,True
SILVERETF,2025-12-23 00:00:00+05:30,203.98,2299386.45,0.9751595259799453,,1.59903042313009,1.614824867768919,3.7373644999301336,0.6671568198531836,5.589474685753983,-0.1748537438310748,8.0,0.5,LONG,377,True
SILVERADD,2025-12-23 00:00:00+05:30,203.64,659262.2,0.9696509863429439,,2.0657022324530248,1.5879609473913165,3.6878258232826875,0.6666186873481861,5.413827042643521,-0.1031231585150164,8.0,0.5,LONG,377,True
VEDL,2025-12-23 00:00:00+05:30,586.4,13790636.9,0.844671201814059,,1.379043992908919,1.4878762181749603,5.191779806767804,0.6127841496767114,13.53078211598692,-0.147794452023629,7.5,0.5,LONG,377,True
SHARDACROP,2025-12-23 00:00:00+05:30,893.3,405461.55,0.07611940298507461,,1.2518373004167898,1.4074594317868456,7.305779786465665,0.5763834931451184,31.531911540703508,-0.2500093287062967,7.5,0.5,LONG,377,True
MCX,2025-12-23 00:00:00+05:30,10828.0,500188.2,0.6431385423506237,,1.198762895761126,1.093308901714506,4.919125131101969,0.5879429647893935,291.9769783668109,-0.0277059475434059,7.5,0.5,LONG,377,True
ICICIPRULI,2025-12-23 00:00:00+05:30,650.9,1163258.7,0.7504669987546699,,1.002565123308875,1.091893195872585,3.5127380095014957,0.6220381252821441,12.933941643468438,-0.0204844574179504,9.0,0.5,LONG,377,True
IMFA,2025-12-23 00:00:00+05:30,1421.0,264909.25,0.3820967257434666,,1.2686841274812584,1.0739612648211072,5.66636971928523,0.5751622468395194,65.21287806275383,-0.2345765892564028,8.0,0.0,LONG,377,True
