symbol,timestamp,close,avg20_vol,bias,prob_up_1d,pred_ret_1d_pct,pred_ret_3d_pct,pred_ret_5d_pct,prob_up_5d,global_hits,actionable,hit_rate_1d_%,mae_1d_%,rmse_1d_%,pearson_r_1d,hit_rate_5d_%,mae_5d_%,rmse_5d_%,pearson_r_5d,D_atr14,D_cpr_width_pct,long_score,short_score,notes
CASHIETF,2025-12-23 00:00:00+05:30,1042.26,254778.65,LONG,0.9851196082124694,,1.906403847981571,7.818055912272327,0.9962067777951624,377,True,100.0,0.7948708204962535,0.8069282597798388,-0.0649816240404042,59.45945945945946,1.9501439101117344,2.849285305284784,0.0598880579011265,1.4612978002823562,0.0,8.0,0.5,
SHREEJISPG,2025-12-23 00:00:00+05:30,320.9,972697.55,LONG,0.9851196082124694,,2.994974358879394,4.214238255088414,0.8075203022897175,41,True,43.42105263157895,1.7923151348294095,2.525332026171556,0.6894915931857232,56.25,3.797869791436425,5.36083304815197,0.4603228561661296,12.516295268240096,-0.5089851459436977,7.0,0.0,
KANSAINER,2025-12-23 00:00:00+05:30,224.26,295073.8,SHORT,0.9851196082124694,,3.1525102799191465,4.0319425592125135,0.8713413658017786,92,True,47.1578947368421,1.0912391205356151,1.5471853069424584,0.6537881538636519,57.868020304568525,2.6234101399110314,3.7029234829440782,0.3566759692485612,4.142239230705384,0.1055322690924025,2.5,5.0,
LIQUIDBETF,2025-12-23 00:00:00+05:30,1061.94,337476.7,LONG,0.9851196082124694,,0.3761382748729862,3.608849332148512,0.9931693746178044,469,True,95.23809523809524,1.0129758010119116,1.1822680240631678,0.3713057975180637,34.92063492063492,1.071717258303177,1.2971136004495347,0.0836940154298071,0.3594293592667252,0.0,8.0,0.5,
VIKRAN,2025-12-23 00:00:00+05:30,86.65,3510738.2,SHORT,0.983309143686502,,7.393373996051611,4.315269257009831,0.7659182295443407,7,True,46.75324675324676,2.287885456392226,2.8307432716147694,0.8497855793285554,85.71428571428571,4.72399927970844,5.789548430630354,0.5696431403100061,3.694011960736638,-0.7963069821119747,0.0,4.0,
VIPIND,2025-12-23 00:00:00+05:30,365.6,217870.35,LONG,0.983309143686502,,2.4929291668724622,3.3049859321195894,0.7576509589737548,231,True,44.61697722567288,1.563743000940505,2.176048892226372,0.6412534285386023,64.14141414141415,3.382680179160165,4.36579045289373,0.4961520617630439,11.987141233110442,0.1869073668855016,4.0,2.0,
IIFL,2025-12-23 00:00:00+05:30,572.75,998429.8,LONG,0.983309143686502,,1.4743003951500508,2.454185137733992,0.6668953721001798,377,True,50.30927835051546,1.8205869088341209,2.6140756117122024,0.7102033193361812,59.5959595959596,3.955392169771616,5.223981755755126,0.4066457357619867,14.951156366572413,-0.0261894369271219,7.0,0.5,
PNBHOUSING,2025-12-23 00:00:00+05:30,932.85,1009978.7,LONG,0.983309143686502,,1.2502621958187,1.5266596880438752,0.6110689350126458,129,True,50.7201646090535,1.7967744959008929,2.5309473041665544,0.6975674816274453,60.1010101010101,4.071292200123216,5.254824909906257,0.3474047482175508,25.53106130508985,-0.0321595111754252,2.5,2.0,
EMMVEE,2025-12-23 00:00:00+05:30,184.81,5350861.8,SHORT,0.9751595259799452,,3.7608816522166455,6.654434959787773,0.798260550167712,25,True,38.46153846153846,2.9175113624823825,3.9310092419369136,0.7523452610037442,20.0,9.318162968184463,10.504206625049129,-0.1959533461450836,12.847828657716908,-0.4328770088198752,1.0,1.5,
SILVER,2025-12-23 00:00:00+05:30,210.35,2327923.15,LONG,0.9751595259799452,,2.855098640708338,2.2110634803517857,0.7288842072652602,469,True,53.11827956989247,1.0233015487377748,1.3893228440464829,0.6970413688937107,60.62176165803109,2.701456749344819,3.5445221281303443,0.3017814606995323,6.02307683574429,-0.2028365422708231,8.0,0.5,
SILVERETF,2025-12-23 00:00:00+05:30,203.98,2299386.45,LONG,0.9751595259799452,,1.59903042313009,1.614824867768919,0.6671568198531836,377,True,54.82866043613707,1.0497931645202754,1.4884414209443004,0.7318571500257913,63.1578947368421,2.877158646311541,3.875242255279934,0.3343743414620754,5.589474685753983,-0.1748537438310748,8.0,0.5,
AXISILVER,2025-12-23 00:00:00+05:30,209.39,1230302.8,LONG,0.9751595259799452,,1.7667638125825122,1.5160258819482495,0.6552251174149382,574,True,54.11311053984576,1.0287153213819809,1.4202138665989723,0.6917716225703313,63.97515527950311,2.8350883321719422,3.97453037166308,0.2224756588894329,5.844509754379185,-0.0859639906394526,8.0,0.5,
JBMA,2025-12-23 00:00:00+05:30,577.95,382582.8,SHORT,0.9751595259799452,,0.7427486226951545,0.4152513981991372,0.5254887459256992,92,True,45.80310880829016,2.081428517473321,2.938095900045872,0.6951020442068848,69.1919191919192,4.775897169604546,6.726881004232354,0.4422985967764564,17.24330495558885,0.126885255356579,2.5,5.0,
SILVER1,2025-12-23 00:00:00+05:30,204.49,1442517.0,LONG,0.9707977207977208,,1.3727426031542422,1.734403917516093,0.6906928976817654,469,True,54.39330543933055,1.078833633620163,1.6789088286083584,0.6524734384307158,64.66666666666667,2.5377806241172927,3.3863303212379563,0.4166909361075756,5.779494733957828,-0.1304057248113118,8.0,0.5,
SILVERBEES,2025-12-23 00:00:00+05:30,201.79,47016457.45,LONG,0.9707977207977208,,1.69594542771053,1.254915132429603,0.639059235044135,574,True,52.6824034334764,1.0487647990390243,1.3995550654986362,0.7281761969489836,59.375,2.941883364728975,3.8663504012303855,0.261272923704321,4.949930123407601,-0.0974610568743041,8.0,0.5,
BSLGOLDETF,2025-12-23 00:00:00+05:30,116.59,565929.6,LONG,0.9707977207977208,,0.8037391762062751,1.0946946592890476,0.6800751048010508,175,True,56.31578947368421,0.7551339445250835,0.984806425142742,0.4664718229284307,62.94416243654823,1.806653569765452,2.3492837521464893,0.2124518223937098,2.401431695916955,0.1115018440689313,6.0,1.5,
LIQUIDCASE,2025-12-23 00:00:00+05:30,111.96,13486603.0,LONG,0.969650986342944,,1.730734118627177,2.083657718010468,0.7930568198315943,377,True,100.0,0.7033932799775116,0.7293123324241505,-0.2401481174421253,58.94736842105263,1.6284759680322167,2.710513832723059,0.0551022377290868,0.0739662981459883,-2.5385592560203653e-14,6.5,0.5,
MBEL,2025-12-23 00:00:00+05:30,368.75,214461.1,SHORT,0.969650986342944,,2.23422432228554,1.645876273527896,0.6087123445457432,7,True,42.10526315789474,2.1632968187649717,3.2097979710618416,0.7311345610730565,36.8421052631579,4.274710556257898,5.101679870504423,0.596556333210982,16.893804557555,-0.614689265536719,0.0,2.5,
